QuestionNumber | Module | TopicCode | TopicName | AssessmentCriterion | QuestionType | Stem | OptionA | OptionB | OptionC | OptionD | OptionE | CorrectAnswer | Marks | BloomLevel
130 | KM-02 | KT0503 | Pumps | Working principles | TF | In centrifugal pumps, pressure increases as fluid moves through the volute. | True | False |  |  |  | A | 1 | Understand
131 | KM-02 | KT0503 | Pumps | Working principles | MCQ | Positive displacement pumps move fluid by: | Creating centrifugal force | Trapping and forcing fluid | Using magnetic fields | Heating the fluid | Reducing friction | B | 1 | Understand
132 | KM-02 | KT0503 | Pumps | Working principles | TF | Gear pumps use meshing gears to move fluid. | True | False |  |  |  | A | 1 | Remember
133 | KM-02 | KT0504 | Pumps | Installation | MCQ | Before starting a centrifugal pump, it must be: | Heated | Primed | Overfilled | Pressurized | Disassembled | B | 1 | Apply
134 | KM-02 | KT0504 | Pumps | Installation | TF | Running a centrifugal pump dry can cause severe damage. | True | False |  |  |  | A | 1 | Apply
135 | KM-02 | KT0504 | Pumps | Installation | MCQ | Pump alignment is important because it: | Increases noise | Reduces efficiency | Prevents bearing and seal failure | Increases vibration | Reduces flow | C | 1 | Understand
136 | KM-02 | KT0504 | Pumps | Installation | TF | Misalignment can cause overheating and premature wear. | True | False |  |  |  | A | 1 | Understand
137 | KM-02 | KT0505 | Pumps | Troubleshooting | MCQ | Cavitation in pumps is caused by: | High discharge pressure | Low suction pressure | Excessive lubrication | Clean water | High viscosity | B | 1 | Understand
138 | KM-02 | KT0505 | Pumps | Troubleshooting | TF | Cavitation can damage the impeller. | True | False |  |  |  | A | 1 | Apply
139 | KM-02 | KT0505 | Pumps | Troubleshooting | MCQ | A pump that fails to deliver flow may have: | Correct priming | Blocked suction line | Proper alignment | Clean filters | Correct rotation | B | 1 | Apply
140 | KM-02 | KT0505 | Pumps | Troubleshooting | TF | Incorrect pump rotation can prevent fluid flow. | True | False |  |  |  | A | 1 | Apply
141 | KM-02 | KT0501 | Pumps | Types | MCQ | Which pump type is commonly used for domestic water supply? | Centrifugal pump | Gear pump | Screw pump | Piston pump | Vane pump | A | 1 | Understand
142 | KM-02 | KT0501 | Pumps | Types | TF | Submersible pumps operate underwater. | True | False |  |  |  | A | 1 | Remember
143 | KM-02 | KT0503 | Pumps | Working principles | MCQ | In a gear pump, fluid is carried between: | Vanes | Gear teeth | Pistons | Impeller blades | Diaphragms | B | 1 | Understand
144 | KM-02 | KT0503 | Pumps | Working principles | TF | Gear pumps provide a smooth, pulseless flow. | True | False |  |  |  | B | 1 | Understand
145 | KM-02 | KT0504 | Pumps | Installation | MCQ | Suction strainers are used to: | Increase pressure | Remove debris | Reduce flow | Increase temperature | Lubricate seals | B | 1 | Understand
146 | KM-02 | KT0504 | Pumps | Installation | TF | A clogged suction strainer reduces pump performance. | True | False |  |  |  | A | 1 | Apply
147 | KM-02 | KT0505 | Pumps | Troubleshooting | MCQ | Excessive pump vibration may be caused by: | Correct alignment | Balanced impeller | Worn bearings | Clean suction line | Proper lubrication | C | 1 | Understand
148 | KM-02 | KT0505 | Pumps | Troubleshooting | TF | Air leaks on the suction side can cause loss of prime. | True | False |  |  |  | A | 1 | Apply
149 | KM-02 | KT0506 | Pumps | Safety | MCQ | Before working on a pump, you must: | Increase speed | Remove guards | Lockout and tagout | Add water | Open discharge valve fully | C | 1 | Apply
150 | KM-02 | KT0506 | Pumps | Safety | TF | Pump casings may become hot during operation. | True | False |  |  |  | A | 1 | Understand
151 | KM-02 | KT0601 | Compressors | Types | MCQ | Which compressor type uses a piston to compress air? | Rotary vane | Screw compressor | Reciprocating compressor | Centrifugal compressor | Axial compressor | C | 1 | Remember
152 | KM-02 | KT0601 | Compressors | Types | TF | Reciprocating compressors are positive displacement compressors. | True | False |  |  |  | A | 1 | Understand
153 | KM-02 | KT0601 | Compressors | Types | MCQ | Which compressor type is best for continuous, high?volume air supply? | Reciprocating | Screw | Diaphragm | Axial | Vane | B | 1 | Understand
154 | KM-02 | KT0601 | Compressors | Types | TF | Screw compressors operate using two meshing rotors. | True | False |  |  |  | A | 1 | Remember
155 | KM-02 | KT0602 | Compressors | Components | MCQ | The component that stores compressed air is called the: | Cylinder | Receiver | Impeller | Rotor | Separator | B | 1 | Remember
156 | KM-02 | KT0602 | Compressors | Components | TF | Air receivers help reduce pressure fluctuations. | True | False |  |  |  | A | 1 | Understand
157 | KM-02 | KT0602 | Compressors | Components | MCQ | The purpose of an air filter is to: | Increase pressure | Remove contaminants | Reduce temperature | Increase flow | Lubricate bearings | B | 1 | Understand
158 | KM-02 | KT0602 | Compressors | Components | TF | Dirty air filters reduce compressor efficiency. | True | False |  |  |  | A | 1 | Apply
159 | KM-02 | KT0603 | Compressors | Working principles | MCQ | Positive displacement compressors work by: | Accelerating air | Trapping and compressing air | Using centrifugal force | Using magnetic fields | Cooling air | B | 1 | Understand
160 | KM-02 | KT0603 | Compressors | Working principles | TF | Centrifugal compressors increase air pressure using high?speed rotation. | True | False |  |  |  | A | 1 | Understand
161 | KM-02 | KT0603 | Compressors | Working principles | MCQ | In a screw compressor, air is compressed by: | Pistons | Rotating vanes | Two helical rotors | A diaphragm | A turbine | C | 1 | Understand
162 | KM-02 | KT0603 | Compressors | Working principles | TF | Screw compressors provide a smooth, pulse?free airflow. | True | False |  |  |  | A | 1 | Remember
163 | KM-02 | KT0604 | Compressors | Installation | MCQ | Compressors must be installed in areas with: | Poor ventilation | High humidity | Good airflow | Direct sunlight | No drainage | C | 1 | Apply
164 | KM-02 | KT0604 | Compressors | Installation | TF | Proper ventilation prevents overheating of compressors. | True | False |  |  |  | A | 1 | Understand
165 | KM-02 | KT0604 | Compressors | Installation | MCQ | Before starting a compressor, you must check: | Paint colour | Belt tension | Noise level | Air receiver size | Pipe colour | B | 1 | Apply
166 | KM-02 | KT0604 | Compressors | Installation | TF | Incorrect belt tension can cause slippage and overheating. | True | False |  |  |  | A | 1 | Apply
167 | KM-02 | KT0605 | Compressors | Troubleshooting | MCQ | Excessive compressor noise may indicate: | Clean filters | Worn bearings | Correct lubrication | Proper alignment | Normal operation | B | 1 | Understand
168 | KM-02 | KT0605 | Compressors | Troubleshooting | TF | Air leaks reduce system efficiency and increase running time. | True | False |  |  |  | A | 1 | Understand
169 | KM-02 | KT0605 | Compressors | Troubleshooting | MCQ | Overheating in compressors is often caused by: | Clean oil | Low oil level | Proper ventilation | Correct pressure | New filters | B | 1 | Apply
170 | KM-02 | KT0605 | Compressors | Troubleshooting | TF | Low oil level can cause compressor seizure. | True | False |  |  |  | A | 1 | Apply
171 | KM-02 | KT0601 | Compressors | Types | MCQ | Diaphragm compressors are used for: | Dirty air | Toxic or hazardous gases | High?volume supply | High?temperature air | Vacuum only | B | 1 | Understand
172 | KM-02 | KT0601 | Compressors | Types | TF | Diaphragm compressors prevent gas contamination. | True | False |  |  |  | A | 1 | Remember
173 | KM-02 | KT0603 | Compressors | Working principles | MCQ | In a reciprocating compressor, air is compressed during the: | Intake stroke | Compression stroke | Exhaust stroke | Cooling stroke | Idle stroke | B | 1 | Understand
174 | KM-02 | KT0603 | Compressors | Working principles | TF | Reciprocating compressors have valves that control air intake and discharge. | True | False |  |  |  | A | 1 | Remember
175 | KM-02 | KT0605 | Compressors | Troubleshooting | MCQ | Moisture in compressed air is removed using a: | Receiver | Dryer | Filter only | Separator | Valve | B | 1 | Understand
176 | KM-02 | KT0605 | Compressors | Troubleshooting | TF | Water in compressed air can damage pneumatic tools. | True | False |  |  |  | A | 1 | Apply
177 | KM-02 | KT0606 | Compressors | Safety | MCQ | Before servicing a compressor, you must: | Increase pressure | Lockout and tagout | Remove guards | Open all valves | Disconnect hoses only | B | 1 | Apply
178 | KM-02 | KT0606 | Compressors | Safety | TF | Air receivers must be drained regularly to remove water. | True | False |  |  |  | A | 1 | Apply
179 | KM-02 | KT0606 | Compressors | Safety | MCQ | Over?pressurization of air receivers can cause: | Noise | Vibration | Explosion | Low flow | Oil leaks | C | 1 | Understand
180 | KM-02 | KT0606 | Compressors | Safety | TF | Safety valves protect air receivers from over?pressure. | True | False |  |  |  | A | 1 | Remember
181 | KM-02 | KT0701 | Hydraulics | Fluid principles | MCQ | Which principle states that pressure applied to a confined fluid is transmitted equally in all directions? | Bernoulli?s principle | Pascal?s law | Boyle?s law | Newton?s law | Archimedes? principle | B | 1 | Remember
182 | KM-02 | KT0701 | Hydraulics | Fluid principles | TF | Pascal?s law forms the basis of hydraulic systems. | True | False |  |  |  | A | 1 | Understand
183 | KM-02 | KT0701 | Hydraulics | Fluid principles | MCQ | Hydraulic systems use: | Gases | Liquids | Vapours | Air only | Steam | B | 1 | Remember
184 | KM-02 | KT0701 | Hydraulics | Fluid principles | TF | Liquids are considered incompressible in hydraulic systems. | True | False |  |  |  | A | 1 | Understand
185 | KM-02 | KT0702 | Hydraulics | Components | MCQ | Which component converts hydraulic energy into mechanical motion? | Pump | Actuator | Reservoir | Filter | Valve | B | 1 | Understand
186 | KM-02 | KT0702 | Hydraulics | Components | TF | Hydraulic cylinders are linear actuators. | True | False |  |  |  | A | 1 | Remember
187 | KM-02 | KT0702 | Hydraulics | Components | MCQ | The purpose of a hydraulic reservoir is to: | Increase pressure | Store and cool fluid | Filter contaminants | Reduce flow | Increase speed | B | 1 | Understand
188 | KM-02 | KT0702 | Hydraulics | Components | TF | Hydraulic filters remove dirt and particles from the fluid. | True | False |  |  |  | A | 1 | Remember
189 | KM-02 | KT0703 | Hydraulics | Pumps | MCQ | Which pump type is commonly used in hydraulic systems? | Centrifugal pump | Gear pump | Jet pump | Axial pump | Screw pump | B | 1 | Understand
190 | KM-02 | KT0703 | Hydraulics | Pumps | TF | Gear pumps are positive displacement pumps. | True | False |  |  |  | A | 1 | Remember
191 | KM-02 | KT0703 | Hydraulics | Pumps | MCQ | A vane pump uses: | Pistons | Sliding vanes | Rotating gears | Diaphragms | Impellers | B | 1 | Understand
192 | KM-02 | KT0703 | Hydraulics | Pumps | TF | Vane pumps provide smooth flow with low noise. | True | False |  |  |  | A | 1 | Understand
193 | KM-02 | KT0704 | Hydraulics | Valves | MCQ | A pressure relief valve is used to: | Increase pressure | Limit maximum system pressure | Change flow direction | Filter fluid | Reduce temperature | B | 1 | Understand
194 | KM-02 | KT0704 | Hydraulics | Valves | TF | Directional control valves determine the path of fluid flow. | True | False |  |  |  | A | 1 | Remember
195 | KM-02 | KT0704 | Hydraulics | Valves | MCQ | A check valve allows flow: | In both directions | In one direction only | Only when pressure is low | Only when manually opened | Only when the pump is off | B | 1 | Remember
196 | KM-02 | KT0704 | Hydraulics | Valves | TF | Check valves prevent backflow in hydraulic circuits. | True | False |  |  |  | A | 1 | Understand
197 | KM-02 | KT0705 | Hydraulics | Actuators | MCQ | A double?acting cylinder can: | Extend only | Retract only | Extend and retract using hydraulic pressure | Rotate continuously | Store fluid | C | 1 | Understand
198 | KM-02 | KT0705 | Hydraulics | Actuators | TF | Single?acting cylinders use hydraulic pressure in one direction only. | True | False |  |  |  | A | 1 | Remember
199 | KM-02 | KT0705 | Hydraulics | Actuators | MCQ | Rotary actuators convert hydraulic energy into: | Linear motion | Heat | Rotary motion | Pressure | Filtration | C | 1 | Understand
200 | KM-02 | KT0705 | Hydraulics | Actuators | TF | Hydraulic motors are rotary actuators. | True | False |  |  |  | A | 1 | Remember
201 | KM-02 | KT0706 | Hydraulics | Circuits | MCQ | A hydraulic symbol for a pump is usually shown as: | A circle with an arrow | A square | A triangle | A diamond | A rectangle | A | 1 | Remember
202 | KM-02 | KT0706 | Hydraulics | Circuits | TF | Hydraulic circuit diagrams use standardized ISO symbols. | True | False |  |  |  | A | 1 | Understand
203 | KM-02 | KT0706 | Hydraulics | Circuits | MCQ | Flow control valves are used to: | Change direction | Regulate speed | Increase pressure | Reduce temperature | Filter fluid | B | 1 | Understand
204 | KM-02 | KT0706 | Hydraulics | Circuits | TF | Flow rate affects the speed of actuators. | True | False |  |  |  | A | 1 | Apply
205 | KM-02 | KT0707 | Hydraulics | Troubleshooting | MCQ | Slow actuator movement may be caused by: | High flow | Low flow | Clean filters | Correct pressure | New seals | B | 1 | Apply
206 | KM-02 | KT0707 | Hydraulics | Troubleshooting | TF | Air in a hydraulic system can cause spongy or jerky movement. | True | False |  |  |  | A | 1 | Understand
